Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.12,$1.2,$1.62,$1.62
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.33,$1.33,$1.33
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.58,Error,$0.79
Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,$3.20,$1.58,$1.8,Not Available,Not Available,Not Available,$1.66,$1.88,Not Available,$2.60,$1.7,Not Available,$1.83,$1.93,Not Available,Not Available,Not Available,Not Available,$1.66,Not Available,$2.01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,$2.40,Not Available,$1.9,Not Available,Not Available,Not Available,Not Available,Not Available,$1.92,Not Available,Not Available,$2.40,Error,Not Available,Not Available,$1.2,$2.90,Not Available,$1.60,Not Available,Not Available,Error,$1.9,$1.92,$1.66,$1.93,Not Available,Not Available,$0.80,$1.66,Not Available,$1.77,$1.60,$1.77,Not Available,Not Available,Not Available,Not Available,$1.9,$2.60,Not Available,$1.86,Not Available,$1.77,Not Available,Not Available,Not Available,$1.92,$0.9,$1.8,$1.74,Not Available,$1.60,Not Available,Not Available,Not Available,$1.92,$1.92,$2.70,Not Available,Not Available,Not Available,Not Available,Not Available,$2.70,$0.80,$1.9,Not Available,$1.46,$1.12
N.A,N.A,$1.38,$1.01,$1.27,$1.58,$1.12,$1.27,$1.01,$3.30,$1.42,$1.70,$1.01,$1.46,$0.9,$2.30,$1.96,$1.77,$1.54,$1.27,$2.60,$1.7,$1.2,$4.20,$1.86,$1.01,$1.12,$2.50,$1.5,$0.9,$1.01,$3.10,$1.2,$1.01,$0.79,$1.38,$1.01,$1.46,$1.38,$1.62,$2.60,$1.54,$1.38,Not Available,$2.80,$0.79,Error,$0.9,$1.58,$2.00,$1.54,$1.27,$1.94,$1.54,Not Available,Error,$0.79,$1.12,$1.2,$0.79,$1.2,$1.42,$1.92,$1.27,$0.79,$1.2,$0.9,$1.27,$2.50,$1.33,$1.27,$1.58,$1.66,$0.79,$3.80,$0.79,$1.01,$1.62,$1.46,$1.2,$1.42,$0.9,Not Available,$1.5,$1.01,$1.42,$1.5,$1.27,$0.79,$1.38,$0.9,$1.54,$1.46,$1.27,$1.2,$1.12,$1.5,$1.33,$1.12,$1.94,$0.9,Not Available,$2.00,$1.88
N.A,N.A,N.A,$1.12,$1.62,$1.54,$1.54,$0.79,$1.38,$2.54,$1.27,$0.9,$1.5,$1.2,$1.46,$2.4,$2.4,$2.80,$1.5,$1.01,$1.74,$1.88,$1.54,$2.46,$1.88,$1.5,$1.54,$1.74,$1.5,$1.42,$1.50,$1.66,Not Available,$1.5,$1.38,$1.70,$1.38,$1.42,$1.7,Not Available,$2.80,$1.5,$1.12,Not Available,$2.5,$1.42,Error,$1.46,$1.88,$1.2,$1.58,$1.2,$1.95,$1.80,$2.5,Error,$1.42,$1.27,$0.79,$1.27,$1.62,Not Available,$1.93,$0.9,$1.46,$1.38,$1.50,$1.2,$1.7,$1.42,$0.80,Not Available,$1.58,$1.33,Not Available,$1.27,$1.54,$1.42,$2.60,Not Available,$1.60,$1.46,Not Available,$1.27,$0.9,$1.7,$1.38,$1.54,$1.46,$1.38,$1.2,$2.50,$1.33,$1.62,Not Available,$1.54,$1.74,Not Available,$1.27,$2.80,$1.12,$1.77,$0.79,$0.80
N.A,N.A,N.A,N.A,$2.10,Not Available,$1.27,$1.2,$1.12,Not Available,$1.38,$0.9,$1.33,$1.2,$1.38,Not Available,Not Available,Not Available,$1.54,$1.12,Not Available,$1.7,$1.42,Not Available,Not Available,$1.38,$1.42,Not Available,$1.46,$1.12,$1.33,$1.62,$1.42,$1.38,$1.01,$1.46,$1.2,$1.38,$1.74,$1.74,Not Available,$1.5,$1.01,Not Available,Not Available,$1.12,Error,$1.12,$1.66,$1.54,Not Available,$0.79,Not Available,$1.62,Not Available,Error,$1.27,$1.90,$0.9,$0.79,$1.46,$1.54,Not Available,$1.01,$1.12,Not Available,$1.33,Not Available,$1.66,Not Available,$1.46,$1.86,$1.5,$0.9,Not Available,$0.9,$1.38,$1.42,$1.54,$1.42,$1.62,$1.27,Not Available,$1.33,$0.79,Not Available,Not Available,Not Available,$1.2,Not Available,$0.79,$1.50,Not Available,$1.42,$1.46,$1.42,$1.8,$2.20,$1.10,Not Available,$0.79,Not Available,$2.00,Not Available
N.A,N.A,N.A,N.A,N.A,$1.62,Not Available,$1.5,$1.12,$2.46,$1.42,$1.38,$0.79,Not Available,$0.9,$2.30,$2.4,Not Available,$1.42,$1.33,Not Available,Not Available,$1.01,$2.37,Not Available,$0.79,$0.9,$1.58,$1.42,$1.33,$0.79,$1.46,$0.79,$0.79,$1.38,$3.10,$1.12,$1.38,$1.12,$1.42,Not Available,$1.38,Not Available,$2.56,$2.26,$1.2,Error,$1.42,$1.46,Not Available,$1.58,$1.5,Not Available,$1.27,$2.37,Error,$1.01,$1.01,$1.46,$1.38,Error,$0.79,$0.9,Not Available,$1.38,$1.33,$1.12,$1.70,$1.2,$1.46,$1.01,$1.12,$1.38,$2.43,$1.33,$2.53,$1.27,$0.79,Not Available,$1.38,$0.79,$1.27,$0.9,Not Available,Not Available,$1.38,$2.30,$1.5,$0.9,$1.80,$1.60,$1.42,$2.26,$1.46,Not Available,$0.79,$0.79,$1.2,$1.12,$1.33,Not Available,$1.33,Not Available,Not Available,Not Available
N.A,N.A,N.A,N.A,N.A,N.A,$1.8,$1.58,$1.5,$1.42,$1.12,$1.42,$1.5,$1.77,$1.42,$0.9,$1.01,$1.01,$1.2,$1.33,$0.9,$1.99,$1.58,$1.12,$1.27,$1.54,$1.54,$1.01,$1.27,$1.7,$1.42,$1.01,$0.80,$1.5,$1.7,$1.93,$1.5,$1.12,$1.62,$1.46,$0.79,$1.12,$1.7,$1.62,$1.2,$1.58,Error,$1.74,$1.38,$1.74,$0.79,$1.7,$1.42,$1.54,$1.27,Error,$1.58,$1.38,$1.54,$1.58,$1.66,Not Available,$1.46,$1.38,$1.7,$1.33,$1.62,$1.42,$1.2,$1.38,$1.5,$1.54,$1.94,$1.62,$1.42,$1.46,$1.54,Not Available,$1.38,$1.50,$1.42,$1.38,$2.20,$2.80,$1.60,$1.9,$0.79,$1.42,$1.7,$1.2,$1.58,$2.48,$1.01,$1.86,$0.80,$1.60,$1.54,$1.42,$1.33,$1.58,$1.5,$1.42,$1.54,$1.77
N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.5,$1.5,$2.04,$1.62,$1.58,$1.38,$1.5,$1.33,$2.53,$2.53,$2.90,$1.77,$1.54,$2.90,$1.42,$1.42,$4.30,$1.94,$1.42,$1.42,$1.86,$1.77,$1.12,$1.46,$1.80,$1.58,$1.42,$0.9,$0.9,$1.5,$1.7,$1.7,$1.86,$1.86,$1.74,$1.38,Not Available,$1.99,$1.2,Error,$0.79,$1.86,$1.88,$1.86,$1.42,$2,$1.77,$2.57,Error,$1.27,$1.54,$1.46,$1.12,$1.62,Not Available,$1.98,$1.66,$1.2,$2.18,$1.38,$2.14,$1.83,$2.26,$1.62,$1.8,$1.70,$1.01,Not Available,$2.10,$1.5,$1.60,$1.74,$4.20,$1.74,$1.38,Not Available,Error,,$1.5,$1.01,$1.74,$1.5,$1.2,$1.62,$1.2,$1.01,$1.7,$0.79,$4.20,$4.20,$1.74,$1.62,$2.14,$1.97,$1.38,Not Available,$1.66,$1.92
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.2,$2.53,$1.2,$0.79,$1.33,$1.33,$1.33,$2.34,$2.34,$1.66,$1.46,$0.79,$1.58,$1.92,$0.79,$2.43,$1.77,$1.38,$0.79,$1.74,$1.38,$1.46,$1.90,$1.66,$0.79,$1.42,$1.46,Not Available,$1.27,$1.27,$1.58,$1.58,$1.54,$1.42,$1.2,$4.00,$2.46,$1.38,Error,$1.46,$1.58,Not Available,$1.5,$1.00,$1.9,$1.54,$2.48,Error,$1.27,$1.2,$0.9,$1.33,$0.79,Not Available,$1.86,$0.80,$1.42,$1.2,$1.38,$1.01,$1.58,$1.80,$0.79,$1.8,$1.62,$1.46,$2.55,$1.01,$1.70,$2.10,$1.46,$0.79,$2.50,$1.27,Not Available,$1.38,$1.01,Not Available,$1.38,$2.00,$1.38,$1.2,$1.27,$1.74,$1.2,$1.66,$0.79,$0.79,$1.58,$2.50,$0.9,$1.9,$1.01,$1.77,$0.9,Not Available
